state_ut,district,year_month,Latitude,Longitude,Cases,Deaths,preci,LAI,Temp,Cases_MA_3,Deaths_MA_3,Case_Growth_Rate,Month,Season
Andaman and Nicobar Islands,Andaman,2019-06,13.51111965,92.91738842,8.0,0.0,0.77260494,33.0,301.72,8.0,0.0,0.0,6,Monsoon
Andaman and Nicobar Islands,Andaman,2019-10,13.51111965,92.91738842,30.0,0.0,0.1498575146,42.0,298.9066666,19.0,0.0,2.75,10,Post-Monsoon
Andaman and Nicobar Islands,North and Middle Andaman,2013-12,12.61123865,92.83165406,86.0,0.0,0.1881493739,53.0,298.2,86.0,0.0,0.0,12,Winter
Andhra Pradesh,Anantapur,2010-06,14.6546235,77.55625984,68.0,0.0,0.2540483378,0.0,311.175,68.0,0.0,0.0,6,Monsoon
Andhra Pradesh,Anantapur,2011-06,14.6546235,77.55625984,232382.0,0.0,0.027714734020000003,0.0,307.82,116225.0,0.0,3416.3823529411766,6,Monsoon
Andhra Pradesh,Anantapur,2011-09,14.6546235,77.55625984,25.0,0.0,0.2521427967,7.0,0.0,77491.66666666667,0.0,-0.9998924185177853,9,Monsoon
Andhra Pradesh,Anantapur,2012-05,14.6546235,77.55625984,25.0,0.0,0.08289797767,3.0,312.8,77477.33333333333,0.0,0.0,5,Summer
Andhra Pradesh,Anantapur,2012-12,14.6546235,77.55625984,23.0,0.0,9.79e-05,6.0,306.06,24.333333333333332,0.0,-0.07999999999999996,12,Winter
Andhra Pradesh,Anantapur,2013-06,14.6546235,77.55625984,59.0,0.0,0.1960967701,2.0,0.0,35.666666666666664,0.0,1.5652173913043477,6,Monsoon
Andhra Pradesh,Anantapur,2013-08,14.6546235,77.55625984,34.0,2.0,0.03424359017,0.0,308.62,38.666666666666664,0.6666666666666666,-0.423728813559322,8,Monsoon
Andhra Pradesh,Anantapur,2014-06,14.6546235,77.55625984,12.0,0.0,0.00685651061,3.0,307.90500000000003,35.0,0.6666666666666666,-0.6470588235294117,6,Monsoon
Andhra Pradesh,Anantapur,2015-06,14.6546235,77.55625984,71.0,0.0,0.1592405045,5.0,313.15000000000003,39.0,0.6666666666666666,4.916666666666667,6,Monsoon
Andhra Pradesh,Anantapur,2016-06,14.6546235,77.55625984,11.0,0.0,0.09720540554,4.0,312.5,31.333333333333332,0.0,-0.8450704225352113,6,Monsoon
Andhra Pradesh,Anantapur,2021-03,14.6546235,77.55625984,3030.0,0.0,3.87e-05,0.0,313.216,1037.3333333333333,0.0,274.45454545454544,3,Summer
